,DFCAt,Participant,Frequence,TypeDistractor,Distance
0,0.829002215065,AN,F2,Td,11.25
1,0.333132208542,AN,F2,Td,11.25
2,0.733456633924,AN,F2,Td,11.25
3,0.819902448717,AN,F2,Td,11.25
4,1.39779365224,AN,F2,Td,11.25
5,1.48425578824,AN,F2,Td,11.25
6,1.21122073588,AN,F2,Td,11.25
7,0.0716196560031,AN,F2,Td,11.25
8,1.32043346715,AN,F2,Td,11.25
9,1.19984454821,AN,F2,Td,11.25
10,-1.71352010661,AN,F2,Td,11.25
11,-0.512561448328,AN,F2,Td,11.25
12,-0.0397890295567,AN,F2,Td,11.25
13,1.44557528425,AN,F2,Td,11.25
14,0.724357290602,AN,F2,Td,11.25
15,1.12248730306,AN,F2,Td,11.25
16,0.583323241714,AN,F2,Td,11.25
17,0.360423645097,AN,F2,Td,11.25
18,0.267180254957,AN,F2,Td,11.25
19,0.455947933799,AN,F2,Td,11.25
20,0.408145879493,AN,F2,Td,11.25
21,0.183008330237,AN,F2,Td,11.25
22,1.54563201691,AN,F2,Td,11.25
23,0.931325201242,AN,F2,Td,11.25
24,1.1793120774,AN,F2,Td,11.25
25,0.303531441659,AN,F2,Td,11.25
26,1.25211910372,AN,F2,Td,11.25
27,1.02687723669,AN,F2,Td,11.25
28,0.756156779565,AN,F2,Td,11.25
29,1.06100378874,AN,F2,Td,11.25
30,1.03597761053,AN,F2,Td,11.25
31,0.0738662579026,AN,F2,Td,11.25
32,0.214843432705,AN,F2,Td,11.25
33,1.2225410933,AN,F2,Td,11.25
34,0.865350994448,AN,F2,Td,11.25
35,0.499121541498,AN,F2,Td,11.25
36,1.20206413183,AN,F2,Td,11.25
37,1.44324257067,AN,F2,Td,11.25
38,0.311306970269,AN,F2,Td,22.5
39,1.76816234781,AN,F2,Td,22.5
40,0.701974278605,AN,F2,Td,22.5
41,1.69765683317,AN,F2,Td,22.5
42,0.856482848823,AN,F2,Td,22.5
43,0.00257654506598,AN,F2,Td,22.5
44,0.68152697383,AN,F2,Td,22.5
45,0.779224687712,AN,F2,Td,22.5
46,2.52115203879,AN,F2,Td,22.5
47,1.83412225553,AN,F2,Td,22.5
48,1.25197380109,AN,F2,Td,22.5
49,1.49980682033,AN,F2,Td,22.5
50,1.82729868153,AN,F2,Td,22.5
51,2.68497114372,AN,F2,Td,22.5
52,0.0411589763179,AN,F2,Td,22.5
53,0.0252717754777,AN,F2,Td,22.5
54,0.100172426185,AN,F2,Td,22.5
55,-0.129037560728,AN,F2,Td,22.5
56,1.09057408044,AN,F2,Td,22.5
57,0.461187586533,AN,F2,Td,22.5
58,0.942839034888,AN,F2,Td,22.5
59,1.1246702924,AN,F2,Td,22.5
