,DFCAd,Participant,Frequence,TypeDistractor,Distance
209,-1.20508867289,AN,F2,Td,90.0
210,0.0516684346155,AN,F2,Td,90.0
211,-0.736363596164,AN,F2,Td,90.0
212,-0.19585967732,AN,F2,Td,90.0
213,-1.2718280098,AN,F2,Td,90.0
214,-1.56798504177,AN,F2,Td,90.0
215,1.6533576742,AN,F2,Td,90.0
216,0.135567155152,AN,F2,Td,90.0
217,-0.405304729504,AN,F2,Td,90.0
218,-5.59410282954,AN,F2,Td,90.0
219,0.325963565207,AN,F2,Td,90.0
220,0.689261010284,AN,F2,Td,90.0
221,0.0148517310298,AN,F2,Td,90.0
222,-6.0559835344,AN,F2,Td,90.0
223,0.698057712121,AN,F2,Td,90.0
224,-0.493891023649,AN,F2,Td,90.0
225,0.585862225351,AN,F2,Td,90.0
226,-0.842024900697,AN,F2,Td,90.0
227,-0.405304729504,AN,F2,Td,90.0
228,-5.04012953704,AN,F2,Td,90.0
229,0.755224000683,AN,F2,Td,90.0
230,0.13407138868,AN,F2,Td,90.0
231,-2.8118191254,AN,F2,Td,90.0
232,0.0511487249609,BD,F2,Td,11.25
233,0.376503091208,BD,F2,Td,11.25
234,-0.0512399074599,BD,F2,Td,11.25
235,0.235443722412,BD,F2,Td,11.25
236,-0.171832162424,BD,F2,Td,11.25
237,1.20218633197,BD,F2,Td,11.25
238,0.19221470651,BD,F2,Td,11.25
239,0.983866559102,BD,F2,Td,11.25
240,0.669973071012,BD,F2,Td,11.25
241,0.246819698142,BD,F2,Td,11.25
242,0.0033675259257,BD,F2,Td,11.25
243,1.12714319511,BD,F2,Td,11.25
244,-0.0603411759629,BD,F2,Td,11.25
245,-0.0102843010309,BD,F2,Td,11.25
246,-0.162730836954,BD,F2,Td,11.25
247,0.226342916856,BD,F2,Td,11.25
248,0.567604242527,BD,F2,Td,11.25
249,0.431418460821,BD,F2,Td,11.25
250,0.492844363965,BD,F2,Td,11.25
251,0.126545454341,BD,F2,Td,11.25
252,0.0264330947704,BD,F2,Td,11.25
253,-0.0645793267394,BD,F2,Td,11.25
254,0.440518688791,BD,F2,Td,11.25
255,0.490569357812,BD,F2,Td,11.25
256,0.265334218592,BD,F2,Td,11.25
257,-0.135114427275,BD,F2,Td,11.25
258,0.900028707586,BD,F2,Td,11.25
259,0.531519131201,BD,F2,Td,11.25
260,0.0696636329733,BD,F2,Td,11.25
261,0.0173318951614,BD,F2,Td,11.25
262,-0.0441014584843,BD,F2,Td,11.25
263,-0.119187123199,BD,F2,Td,11.25
264,-0.719545176386,BD,F2,Td,22.5
265,-0.166789893667,BD,F2,Td,22.5
266,0.367554933234,BD,F2,Td,22.5
267,-1.26559648844,BD,F2,Td,22.5
268,-1.19506164486,BD,F2,Td,22.5
269,-1.28607441773,BD,F2,Td,22.5
270,-0.603521252382,BD,F2,Td,22.5
271,-1.06081959335,BD,F2,Td,22.5
272,-0.22592350505,BD,F2,Td,22.5
273,-0.13494977636,BD,F2,Td,22.5
274,-1.17685918444,BD,F2,Td,22.5
275,-0.275961554829,BD,F2,Td,22.5
276,-0.842399874765,BD,F2,Td,22.5
277,0.417564625815,BD,F2,Td,22.5
278,-0.19000742023,BD,F2,Td,22.5
279,-1.14543709551,BD,F2,Td,22.5
280,-1.09993213199,BD,F2,Td,22.5
281,-0.972520906442,BD,F2,Td,22.5
